Start Date,1/1/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
End Date,11/15/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ABIBB 3.5 06/01/2030 Corp,ABIBB 3.5 06/01/2030 Corp,ABIBB 3.5 06/01/2030 Corp,ABIBB 3.5 06/01/2030 Corp,ABIBB 3.5 06/01/2030 Corp,ABIBB 3.5 06/01/2030 Corp,ABIBB 3.5 06/01/2030 Corp,ABIBB 3.5 06/01/2030 Corp,ABIBB 2.7 03/31/2026 REGS Corp,ABIBB 2.7 03/31/2026 REGS Corp,ABIBB 2.7 03/31/2026 REGS Corp,ABIBB 2.7 03/31/2026 REGS Corp,ABIBB 2.7 03/31/2026 REGS Corp,ABIBB 2.7 03/31/2026 REGS Corp,ABIBB 2.7 03/31/2026 REGS Corp,ABIBB 2.7 03/31/2026 REGS Corp,ABIBB 2 03/17/2028 REGS Corp,ABIBB 2 03/17/2028 REGS Corp,ABIBB 2 03/17/2028 REGS Corp,ABIBB 2 03/17/2028 REGS Corp,ABIBB 2 03/17/2028 REGS Corp,ABIBB 2 03/17/2028 REGS Corp,ABIBB 2 03/17/2028 REGS Corp,ABIBB 2 03/17/2028 REGS Corp,ABIBB 2.25 05/24/2029 REGS Corp,ABIBB 2.25 05/24/2029 REGS Corp,ABIBB 2.25 05/24/2029 REGS Corp,ABIBB 2.25 05/24/2029 REGS Corp,ABIBB 2.25 05/24/2029 REGS Corp,ABIBB 2.25 05/24/2029 REGS Corp,ABIBB 2.25 05/24/2029 REGS Corp,ABIBB 2.25 05/24/2029 REGS Corp,ABIBB 4 04/13/2028 Corp,ABIBB 4 04/13/2028 Corp,ABIBB 4 04/13/2028 Corp,ABIBB 4 04/13/2028 Corp,ABIBB 4 04/13/2028 Corp,ABIBB 4 04/13/2028 Corp,ABIBB 4 04/13/2028 Corp,ABIBB 4 04/13/2028 Corp,ABIBB 4.75 01/23/2029 Corp,ABIBB 4.75 01/23/2029 Corp,ABIBB 4.75 01/23/2029 Corp,ABIBB 4.75 01/23/2029 Corp,ABIBB 4.75 01/23/2029 Corp,ABIBB 4.75 01/23/2029 Corp,ABIBB 4.75 01/23/2029 Corp,ABIBB 4.75 01/23/2029 Corp
,Mid Yield To Maturity,Last Price,Bloomberg Issuer Default Risk,Bloomberg Issuer Default Risk Implied CDS Spread,Bloomberg 1 Year Default Probability,Bloomberg 2 Year Default Probability,Bloomberg 3 Year Default Probability,Bloomberg 5 Year Default Probability,Mid Yield To Maturity,Last Price,Bloomberg Issuer Default Risk,Bloomberg Issuer Default Risk Implied CDS Spread,Bloomberg 1 Year Default Probability,Bloomberg 2 Year Default Probability,Bloomberg 3 Year Default Probability,Bloomberg 5 Year Default Probability,Mid Yield To Maturity,Last Price,Bloomberg Issuer Default Risk,Bloomberg Issuer Default Risk Implied CDS Spread,Bloomberg 1 Year Default Probability,Bloomberg 2 Year Default Probability,Bloomberg 3 Year Default Probability,Bloomberg 5 Year Default Probability,Mid Yield To Maturity,Last Price,Bloomberg Issuer Default Risk,Bloomberg Issuer Default Risk Implied CDS Spread,Bloomberg 1 Year Default Probability,Bloomberg 2 Year Default Probability,Bloomberg 3 Year Default Probability,Bloomberg 5 Year Default Probability,Mid Yield To Maturity,Last Price,Bloomberg Issuer Default Risk,Bloomberg Issuer Default Risk Implied CDS Spread,Bloomberg 1 Year Default Probability,Bloomberg 2 Year Default Probability,Bloomberg 3 Year Default Probability,Bloomberg 5 Year Default Probability,Mid Yield To Maturity,Last Price,Bloomberg Issuer Default Risk,Bloomberg Issuer Default Risk Implied CDS Spread,Bloomberg 1 Year Default Probability,Bloomberg 2 Year Default Probability,Bloomberg 3 Year Default Probability,Bloomberg 5 Year Default Probability
Dates,YLD_YTM_MID,PX_LAST,RSK_BB_ISSUER_DEFAULT,RSK_BB_IMPLIED_CDS_SPREAD,BB_1YR_DEFAULT_PROB,BB_2Y_DEFAULT_PROB,BB_3Y_DEFAULT_PROB,BB_5Y_DEFAULT_PROB,YLD_YTM_MID,PX_LAST,RSK_BB_ISSUER_DEFAULT,RSK_BB_IMPLIED_CDS_SPREAD,BB_1YR_DEFAULT_PROB,BB_2Y_DEFAULT_PROB,BB_3Y_DEFAULT_PROB,BB_5Y_DEFAULT_PROB,YLD_YTM_MID,PX_LAST,RSK_BB_ISSUER_DEFAULT,RSK_BB_IMPLIED_CDS_SPREAD,BB_1YR_DEFAULT_PROB,BB_2Y_DEFAULT_PROB,BB_3Y_DEFAULT_PROB,BB_5Y_DEFAULT_PROB,YLD_YTM_MID,PX_LAST,RSK_BB_ISSUER_DEFAULT,RSK_BB_IMPLIED_CDS_SPREAD,BB_1YR_DEFAULT_PROB,BB_2Y_DEFAULT_PROB,BB_3Y_DEFAULT_PROB,BB_5Y_DEFAULT_PROB,YLD_YTM_MID,PX_LAST,RSK_BB_ISSUER_DEFAULT,RSK_BB_IMPLIED_CDS_SPREAD,BB_1YR_DEFAULT_PROB,BB_2Y_DEFAULT_PROB,BB_3Y_DEFAULT_PROB,BB_5Y_DEFAULT_PROB,YLD_YTM_MID,PX_LAST,RSK_BB_ISSUER_DEFAULT,RSK_BB_IMPLIED_CDS_SPREAD,BB_1YR_DEFAULT_PROB,BB_2Y_DEFAULT_PROB,BB_3Y_DEFAULT_PROB,BB_5Y_DEFAULT_PROB
1/1/2018,,,IG1,42,0.000001966,0.000228498,0.001288485,0.004953558,0.997,113.399,IG1,42,0.000001966,0.000228498,0.001288485,0.004953558,1.254,107.098,IG1,42,0.000001966,0.000228498,0.001288485,0.004953558,2.414,98.38,IG1,42,0.000001966,0.000228498,0.001288485,0.004953558,,,IG1,42,0.000001966,0.000228498,0.001288485,0.004953558,,,IG1,42,0.000001966,0.000228498,0.001288485,0.004953558
1/2/2018,,,IG1,41.6,0.000001902,0.000224292,0.001272039,0.004907919,1.018,113.219,IG1,41.6,0.000001902,0.000224292,0.001272039,0.004907919,1.289,106.75,IG1,41.6,0.000001902,0.000224292,0.001272039,0.004907919,2.502,97.527,IG1,41.6,0.000001902,0.000224292,0.001272039,0.004907919,,,IG1,41.6,0.000001902,0.000224292,0.001272039,0.004907919,,,IG1,41.6,0.000001902,0.000224292,0.001272039,0.004907919
1/3/2018,,,IG1,41.4,0.000001794,0.000217146,0.001244518,0.004833768,1.004,113.334,IG1,41.4,0.000001794,0.000217146,0.001244518,0.004833768,1.27,106.933,IG1,41.4,0.000001794,0.000217146,0.001244518,0.004833768,2.397,98.543,IG1,41.4,0.000001794,0.000217146,0.001244518,0.004833768,,,IG1,41.4,0.000001794,0.000217146,0.001244518,0.004833768,,,IG1,41.4,0.000001794,0.000217146,0.001244518,0.004833768
1/4/2018,,,IG1,41.3,0.000001721,0.000212161,0.001224764,0.004778579,0.995,113.398,IG1,41.3,0.000001721,0.000212161,0.001224764,0.004778579,1.252,107.106,IG1,41.3,0.000001721,0.000212161,0.001224764,0.004778579,2.407,98.445,IG1,41.3,0.000001721,0.000212161,0.001224764,0.004778579,,,IG1,41.3,0.000001721,0.000212161,0.001224764,0.004778579,,,IG1,41.3,0.000001721,0.000212161,0.001224764,0.004778579
1/5/2018,,,IG1,41,0.000001548,0.000199834,0.001175318,0.004639312,0.99,113.44,IG1,41,0.000001548,0.000199834,0.001175318,0.004639312,1.247,107.159,IG1,41,0.000001548,0.000199834,0.001175318,0.004639312,2.407,98.448,IG1,41,0.000001548,0.000199834,0.001175318,0.004639312,,,IG1,41,0.000001548,0.000199834,0.001175318,0.004639312,,,IG1,41,0.000001548,0.000199834,0.001175318,0.004639312
1/8/2018,,,IG1,40.9,0.00000165,0.00020721,0.001205155,0.004724162,0.973,113.58,IG1,40.9,0.00000165,0.00020721,0.001205155,0.004724162,1.232,107.307,IG1,40.9,0.00000165,0.00020721,0.001205155,0.004724162,2.403,98.489,IG1,40.9,0.00000165,0.00020721,0.001205155,0.004724162,,,IG1,40.9,0.00000165,0.00020721,0.001205155,0.004724162,,,IG1,40.9,0.00000165,0.00020721,0.001205155,0.004724162
1/9/2018,,,IG1,40.8,0.000001587,0.000202581,0.001186229,0.004669429,1.021,113.17,IG1,40.8,0.000001587,0.000202581,0.001186229,0.004669429,1.285,106.78,IG1,40.8,0.000001587,0.000202581,0.001186229,0.004669429,2.442,98.108,IG1,40.8,0.000001587,0.000202581,0.001186229,0.004669429,,,IG1,40.8,0.000001587,0.000202581,0.001186229,0.004669429,,,IG1,40.8,0.000001587,0.000202581,0.001186229,0.004669429
1/10/2018,,,IG1,40.8,0.0000016,0.000203418,0.001189232,0.004676364,1.027,113.114,IG1,40.8,0.0000016,0.000203418,0.001189232,0.004676364,1.305,106.578,IG1,40.8,0.0000016,0.000203418,0.001189232,0.004676364,2.451,98.019,IG1,40.8,0.0000016,0.000203418,0.001189232,0.004676364,,,IG1,40.8,0.0000016,0.000203418,0.001189232,0.004676364,,,IG1,40.8,0.0000016,0.000203418,0.001189232,0.004676364
1/11/2018,,,IG1,40.7,0.000001552,0.000199614,0.001172815,0.004625465,1.082,112.638,IG1,40.7,0.000001552,0.000199614,0.001172815,0.004625465,1.355,106.09,IG1,40.7,0.000001552,0.000199614,0.001172815,0.004625465,2.473,97.813,IG1,40.7,0.000001552,0.000199614,0.001172815,0.004625465,,,IG1,40.7,0.000001552,0.000199614,0.001172815,0.004625465,,,IG1,40.7,0.000001552,0.000199614,0.001172815,0.004625465
1/12/2018,,,IG1,40.7,0.000001521,0.000197261,0.001163085,0.004597042,1.083,112.62,IG1,40.7,0.000001521,0.000197261,0.001163085,0.004597042,1.351,106.124,IG1,40.7,0.000001521,0.000197261,0.001163085,0.004597042,2.494,97.607,IG1,40.7,0.000001521,0.000197261,0.001163085,0.004597042,,,IG1,40.7,0.000001521,0.000197261,0.001163085,0.004597042,,,IG1,40.7,0.000001521,0.000197261,0.001163085,0.004597042
1/15/2018,,,IG1,40.3,0.000001469,0.00019345,0.001147578,0.004552951,1.085,112.607,IG1,40.3,0.000001469,0.00019345,0.001147578,0.004552951,1.357,106.064,IG1,40.3,0.000001469,0.00019345,0.001147578,0.004552951,2.47,97.835,IG1,40.3,0.000001469,0.00019345,0.001147578,0.004552951,,,IG1,40.3,0.000001469,0.00019345,0.001147578,0.004552951,,,IG1,40.3,0.000001469,0.00019345,0.001147578,0.004552951
1/16/2018,,,IG1,40.4,0.000001525,0.000197553,0.001164365,0.004601086,1.066,112.758,IG1,40.4,0.000001525,0.000197553,0.001164365,0.004601086,1.33,106.33,IG1,40.4,0.000001525,0.000197553,0.001164365,0.004601086,2.428,98.247,IG1,40.4,0.000001525,0.000197553,0.001164365,0.004601086,,,IG1,40.4,0.000001525,0.000197553,0.001164365,0.004601086,,,IG1,40.4,0.000001525,0.000197553,0.001164365,0.004601086
1/17/2018,,,IG1,40.4,0.00000152,0.000197347,0.001163822,0.004600773,1.063,112.779,IG1,40.4,0.00000152,0.000197347,0.001163822,0.004600773,1.329,106.33,IG1,40.4,0.00000152,0.000197347,0.001163822,0.004600773,2.424,98.284,IG1,40.4,0.00000152,0.000197347,0.001163822,0.004600773,,,IG1,40.4,0.00000152,0.000197347,0.001163822,0.004600773,,,IG1,40.4,0.00000152,0.000197347,0.001163822,0.004600773
1/18/2018,,,IG1,40.6,0.00000159,0.000202258,0.001183361,0.004654762,1.072,112.689,IG1,40.6,0.00000159,0.000202258,0.001183361,0.004654762,1.336,106.256,IG1,40.6,0.00000159,0.000202258,0.001183361,0.004654762,2.438,98.147,IG1,40.6,0.00000159,0.000202258,0.001183361,0.004654762,,,IG1,40.6,0.00000159,0.000202258,0.001183361,0.004654762,,,IG1,40.6,0.00000159,0.000202258,0.001183361,0.004654762
1/19/2018,,,IG1,40.5,0.000001549,0.000199331,0.001171655,0.004622109,1.064,112.756,IG1,40.5,0.000001549,0.000199331,0.001171655,0.004622109,1.331,106.308,IG1,40.5,0.000001549,0.000199331,0.001171655,0.004622109,2.443,98.101,IG1,40.5,0.000001549,0.000199331,0.001171655,0.004622109,,,IG1,40.5,0.000001549,0.000199331,0.001171655,0.004622109,,,IG1,40.5,0.000001549,0.000199331,0.001171655,0.004622109
1/22/2018,,,IG1,40.4,0.000001588,0.000202172,0.001183026,0.004653867,1.058,112.798,IG1,40.4,0.000001588,0.000202172,0.001183026,0.004653867,1.327,106.346,IG1,40.4,0.000001588,0.000202172,0.001183026,0.004653867,2.448,98.053,IG1,40.4,0.000001588,0.000202172,0.001183026,0.004653867,,,IG1,40.4,0.000001588,0.000202172,0.001183026,0.004653867,,,IG1,40.4,0.000001588,0.000202172,0.001183026,0.004653867
1/23/2018,,,IG1,40.4,0.000001636,0.000205567,0.00119657,0.004691637,1.058,112.794,IG1,40.4,0.000001636,0.000205567,0.00119657,0.004691637,1.323,106.379,IG1,40.4,0.000001636,0.000205567,0.00119657,0.004691637,2.432,98.208,IG1,40.4,0.000001636,0.000205567,0.00119657,0.004691637,,,IG1,40.4,0.000001636,0.000205567,0.00119657,0.004691637,,,IG1,40.4,0.000001636,0.000205567,0.00119657,0.004691637
1/24/2018,,,IG1,40.5,0.000001669,0.000207806,0.001205231,0.004714755,1.077,112.636,IG1,40.5,0.000001669,0.000207806,0.001205231,0.004714755,1.35,106.114,IG1,40.5,0.000001669,0.000207806,0.001205231,0.004714755,2.484,97.713,IG1,40.5,0.000001669,0.000207806,0.001205231,0.004714755,,,IG1,40.5,0.000001669,0.000207806,0.001205231,0.004714755,,,IG1,40.5,0.000001669,0.000207806,0.001205231,0.004714755
1/25/2018,,,IG1,40.5,0.000001644,0.000205726,0.001196032,0.004685223,1.114,112.311,IG1,40.5,0.000001644,0.000205726,0.001196032,0.004685223,1.38,105.817,IG1,40.5,0.000001644,0.000205726,0.001196032,0.004685223,2.477,97.773,IG1,40.5,0.000001644,0.000205726,0.001196032,0.004685223,,,IG1,40.5,0.000001644,0.000205726,0.001196032,0.004685223,,,IG1,40.5,0.000001644,0.000205726,0.001196032,0.004685223
1/26/2018,,,IG1,40.3,0.00000154,0.000198075,0.001164665,0.004594318,1.153,111.987,IG1,40.3,0.00000154,0.000198075,0.001164665,0.004594318,1.406,105.564,IG1,40.3,0.00000154,0.000198075,0.001164665,0.004594318,2.5,97.554,IG1,40.3,0.00000154,0.000198075,0.001164665,0.004594318,,,IG1,40.3,0.00000154,0.000198075,0.001164665,0.004594318,,,IG1,40.3,0.00000154,0.000198075,0.001164665,0.004594318
1/29/2018,,,IG1,40.7,0.000001864,0.000220316,0.001252418,0.004836853,1.199,111.598,IG1,40.7,0.000001864,0.000220316,0.001252418,0.004836853,1.467,104.977,IG1,40.7,0.000001864,0.000220316,0.001252418,0.004836853,2.508,97.476,IG1,40.7,0.000001864,0.000220316,0.001252418,0.004836853,,,IG1,40.7,0.000001864,0.000220316,0.001252418,0.004836853,,,IG1,40.7,0.000001864,0.000220316,0.001252418,0.004836853
1/30/2018,,,IG1,40.6,0.000001805,0.000216459,0.00123746,0.004796135,1.186,111.706,IG1,40.6,0.000001805,0.000216459,0.00123746,0.004796135,1.457,105.077,IG1,40.6,0.000001805,0.000216459,0.00123746,0.004796135,2.519,97.372,IG1,40.6,0.000001805,0.000216459,0.00123746,0.004796135,,,IG1,40.6,0.000001805,0.000216459,0.00123746,0.004796135,,,IG1,40.6,0.000001805,0.000216459,0.00123746,0.004796135
1/31/2018,,,IG1,40.6,0.000001783,0.000214902,0.00123125,0.004778573,1.198,111.601,IG1,40.6,0.000001783,0.000214902,0.00123125,0.004778573,1.47,104.95,IG1,40.6,0.000001783,0.000214902,0.00123125,0.004778573,2.564,96.948,IG1,40.6,0.000001783,0.000214902,0.00123125,0.004778573,,,IG1,40.6,0.000001783,0.000214902,0.00123125,0.004778573,,,IG1,40.6,0.000001783,0.000214902,0.00123125,0.004778573
2/1/2018,,,IG1,40.5,0.00000173,0.00021131,0.001217003,0.004738682,1.197,111.596,IG1,40.5,0.00000173,0.00021131,0.001217003,0.004738682,1.484,104.809,IG1,40.5,0.00000173,0.00021131,0.001217003,0.004738682,2.586,96.738,IG1,40.5,0.00000173,0.00021131,0.001217003,0.004738682,,,IG1,40.5,0.00000173,0.00021131,0.001217003,0.004738682,,,IG1,40.5,0.00000173,0.00021131,0.001217003,0.004738682
2/2/2018,,,IG1,41,0.000002076,0.000234007,0.001305233,0.004980904,1.223,111.381,IG1,41,0.000002076,0.000234007,0.001305233,0.004980904,1.526,104.41,IG1,41,0.000002076,0.000234007,0.001305233,0.004980904,2.635,96.279,IG1,41,0.000002076,0.000234007,0.001305233,0.004980904,,,IG1,41,0.000002076,0.000234007,0.001305233,0.004980904,,,IG1,41,0.000002076,0.000234007,0.001305233,0.004980904
2/5/2018,,,IG1,41.3,0.000002459,0.000257605,0.001395365,0.005227716,1.191,111.641,IG1,41.3,0.000002459,0.000257605,0.001395365,0.005227716,1.492,104.728,IG1,41.3,0.000002459,0.000257605,0.001395365,0.005227716,2.631,96.314,IG1,41.3,0.000002459,0.000257605,0.001395365,0.005227716,,,IG1,41.3,0.000002459,0.000257605,0.001395365,0.005227716,,,IG1,41.3,0.000002459,0.000257605,0.001395365,0.005227716
2/6/2018,,,IG1,42,0.0000032,0.000298913,0.0015473,0.00563259,1.179,111.738,IG1,42,0.0000032,0.000298913,0.0015473,0.00563259,1.472,104.925,IG1,42,0.0000032,0.000298913,0.0015473,0.00563259,2.64,96.225,IG1,42,0.0000032,0.000298913,0.0015473,0.00563259,,,IG1,42,0.0000032,0.000298913,0.0015473,0.00563259,,,IG1,42,0.0000032,0.000298913,0.0015473,0.00563259
2/7/2018,,,IG1,41.9,0.000003073,0.000292024,0.001521999,0.005564387,1.219,111.405,IG1,41.9,0.000003073,0.000292024,0.001521999,0.005564387,1.512,104.542,IG1,41.9,0.000003073,0.000292024,0.001521999,0.005564387,2.661,96.035,IG1,41.9,0.000003073,0.000292024,0.001521999,0.005564387,,,IG1,41.9,0.000003073,0.000292024,0.001521999,0.005564387,,,IG1,41.9,0.000003073,0.000292024,0.001521999,0.005564387
2/8/2018,,,IG1,42.9,0.000004287,0.000352059,0.001733356,0.006110238,1.237,111.249,IG1,42.9,0.000004287,0.000352059,0.001733356,0.006110238,1.53,104.362,IG1,42.9,0.000004287,0.000352059,0.001733356,0.006110238,2.727,95.413,IG1,42.9,0.000004287,0.000352059,0.001733356,0.006110238,,,IG1,42.9,0.000004287,0.000352059,0.001733356,0.006110238,,,IG1,42.9,0.000004287,0.000352059,0.001733356,0.006110238
2/9/2018,,,IG1,43.5,0.0000052,0.0003924,0.001869849,0.006453722,1.237,111.244,IG1,43.5,0.0000052,0.0003924,0.001869849,0.006453722,1.535,104.312,IG1,43.5,0.0000052,0.0003924,0.001869849,0.006453722,2.719,95.492,IG1,43.5,0.0000052,0.0003924,0.001869849,0.006453722,,,IG1,43.5,0.0000052,0.0003924,0.001869849,0.006453722,,,IG1,43.5,0.0000052,0.0003924,0.001869849,0.006453722
2/12/2018,,,IG1,42.9,0.000005101,0.000387989,0.001854695,0.006414327,1.25,111.136,IG1,42.9,0.000005101,0.000387989,0.001854695,0.006414327,1.549,104.183,IG1,42.9,0.000005101,0.000387989,0.001854695,0.006414327,2.767,95.05,IG1,42.9,0.000005101,0.000387989,0.001854695,0.006414327,,,IG1,42.9,0.000005101,0.000387989,0.001854695,0.006414327,,,IG1,42.9,0.000005101,0.000387989,0.001854695,0.006414327
2/13/2018,,,IG1,43,0.000005147,0.000390091,0.00186199,0.006433556,1.264,111.018,IG1,43,0.000005147,0.000390091,0.00186199,0.006433556,1.567,104.011,IG1,43,0.000005147,0.000390091,0.00186199,0.006433556,2.79,94.837,IG1,43,0.000005147,0.000390091,0.00186199,0.006433556,,,IG1,43,0.000005147,0.000390091,0.00186199,0.006433556,,,IG1,43,0.000005147,0.000390091,0.00186199,0.006433556
2/14/2018,,,IG1,42.9,0.000005053,0.000385926,0.001847783,0.006397038,1.279,110.886,IG1,42.9,0.000005053,0.000385926,0.001847783,0.006397038,1.584,103.842,IG1,42.9,0.000005053,0.000385926,0.001847783,0.006397038,2.826,94.501,IG1,42.9,0.000005053,0.000385926,0.001847783,0.006397038,,,IG1,42.9,0.000005053,0.000385926,0.001847783,0.006397038,,,IG1,42.9,0.000005053,0.000385926,0.001847783,0.006397038
2/15/2018,,,IG1,42.9,0.000005041,0.000385258,0.001845095,0.006388633,1.283,110.848,IG1,42.9,0.000005041,0.000385258,0.001845095,0.006388633,1.588,103.81,IG1,42.9,0.000005041,0.000385258,0.001845095,0.006388633,2.827,94.496,IG1,42.9,0.000005041,0.000385258,0.001845095,0.006388633,,,IG1,42.9,0.000005041,0.000385258,0.001845095,0.006388633,,,IG1,42.9,0.000005041,0.000385258,0.001845095,0.006388633
2/16/2018,,,IG1,42.8,0.000004887,0.000379206,0.001826231,0.00634687,1.238,111.209,IG1,42.8,0.000004887,0.000379206,0.001826231,0.00634687,1.529,104.36,IG1,42.8,0.000004887,0.000379206,0.001826231,0.00634687,2.762,95.102,IG1,42.8,0.000004887,0.000379206,0.001826231,0.00634687,,,IG1,42.8,0.000004887,0.000379206,0.001826231,0.00634687,,,IG1,42.8,0.000004887,0.000379206,0.001826231,0.00634687
2/19/2018,,,IG1,42.4,0.000004993,0.000383573,0.001840443,0.00638073,1.254,111.077,IG1,42.4,0.000004993,0.000383573,0.001840443,0.00638073,1.552,104.141,IG1,42.4,0.000004993,0.000383573,0.001840443,0.00638073,2.781,94.927,IG1,42.4,0.000004993,0.000383573,0.001840443,0.00638073,,,IG1,42.4,0.000004993,0.000383573,0.001840443,0.00638073,,,IG1,42.4,0.000004993,0.000383573,0.001840443,0.00638073
2/20/2018,,,IG1,42.4,0.000005026,0.000385002,0.001845254,0.006392833,1.251,111.093,IG1,42.4,0.000005026,0.000385002,0.001845254,0.006392833,1.555,104.116,IG1,42.4,0.000005026,0.000385002,0.001845254,0.006392833,2.773,95.003,IG1,42.4,0.000005026,0.000385002,0.001845254,0.006392833,,,IG1,42.4,0.000005026,0.000385002,0.001845254,0.006392833,,,IG1,42.4,0.000005026,0.000385002,0.001845254,0.006392833
2/21/2018,,,IG1,42.4,0.00000496,0.000382265,0.001836282,0.006371177,1.243,111.157,IG1,42.4,0.00000496,0.000382265,0.001836282,0.006371177,1.544,104.222,IG1,42.4,0.00000496,0.000382265,0.001836282,0.006371177,2.752,95.191,IG1,42.4,0.00000496,0.000382265,0.001836282,0.006371177,,,IG1,42.4,0.00000496,0.000382265,0.001836282,0.006371177,,,IG1,42.4,0.00000496,0.000382265,0.001836282,0.006371177
2/22/2018,,,IG1,42.3,0.000004921,0.000380516,0.001830304,0.006355822,1.238,111.184,IG1,42.3,0.000004921,0.000380516,0.001830304,0.006355822,1.543,104.226,IG1,42.3,0.000004921,0.000380516,0.001830304,0.006355822,2.767,95.058,IG1,42.3,0.000004921,0.000380516,0.001830304,0.006355822,,,IG1,42.3,0.000004921,0.000380516,0.001830304,0.006355822,,,IG1,42.3,0.000004921,0.000380516,0.001830304,0.006355822
2/23/2018,,,IG1,42.3,0.000004799,0.00037562,0.001814823,0.006320792,1.207,111.441,IG1,42.3,0.000004799,0.00037562,0.001814823,0.006320792,1.511,104.525,IG1,42.3,0.000004799,0.00037562,0.001814823,0.006320792,2.748,95.232,IG1,42.3,0.000004799,0.00037562,0.001814823,0.006320792,,,IG1,42.3,0.000004799,0.00037562,0.001814823,0.006320792,,,IG1,42.3,0.000004799,0.00037562,0.001814823,0.006320792
2/26/2018,,,IG1,41.8,0.000004713,0.000371885,0.00180233,0.006289881,1.204,111.459,IG1,41.8,0.000004713,0.000371885,0.00180233,0.006289881,1.511,104.528,IG1,41.8,0.000004713,0.000371885,0.00180233,0.006289881,2.744,95.27,IG1,41.8,0.000004713,0.000371885,0.00180233,0.006289881,,,IG1,41.8,0.000004713,0.000371885,0.00180233,0.006289881,,,IG1,41.8,0.000004713,0.000371885,0.00180233,0.006289881
2/27/2018,,,IG1,42.1,0.000005136,0.000390075,0.001863043,0.006440305,1.224,111.295,IG1,42.1,0.000005136,0.000390075,0.001863043,0.006440305,1.53,104.345,IG1,42.1,0.000005136,0.000390075,0.001863043,0.006440305,2.804,94.718,IG1,42.1,0.000005136,0.000390075,0.001863043,0.006440305,,,IG1,42.1,0.000005136,0.000390075,0.001863043,0.006440305,,,IG1,42.1,0.000005136,0.000390075,0.001863043,0.006440305
2/28/2018,,,IG1,42,0.000005098,0.000388744,0.001859277,0.006433464,1.202,111.47,IG1,42,0.000005098,0.000388744,0.001859277,0.006433464,1.508,104.548,IG1,42,0.000005098,0.000388744,0.001859277,0.006433464,2.745,95.266,IG1,42,0.000005098,0.000388744,0.001859277,0.006433464,,,IG1,42,0.000005098,0.000388744,0.001859277,0.006433464,,,IG1,42,0.000005098,0.000388744,0.001859277,0.006433464
3/1/2018,,,IG1,40.8,0.000003396,0.000297598,0.001509846,0.005475038,1.195,111.512,IG1,40.8,0.000003396,0.000297598,0.001509846,0.005475038,1.507,104.561,IG1,40.8,0.000003396,0.000297598,0.001509846,0.005475038,2.739,95.33,IG1,40.8,0.000003396,0.000297598,0.001509846,0.005475038,,,IG1,40.8,0.000003396,0.000297598,0.001509846,0.005475038,,,IG1,40.8,0.000003396,0.000297598,0.001509846,0.005475038
3/2/2018,,,IG1,40.8,0.000003386,0.000297086,0.00150807,0.005470538,1.214,111.357,IG1,40.8,0.000003386,0.000297086,0.00150807,0.005470538,1.541,104.238,IG1,40.8,0.000003386,0.000297086,0.00150807,0.005470538,2.76,95.133,IG1,40.8,0.000003386,0.000297086,0.00150807,0.005470538,,,IG1,40.8,0.000003386,0.000297086,0.00150807,0.005470538,,,IG1,40.8,0.000003386,0.000297086,0.00150807,0.005470538
3/5/2018,,,IG1,40.5,0.000003266,0.000291167,0.001487267,0.005416807,1.216,111.337,IG1,40.5,0.000003266,0.000291167,0.001487267,0.005416807,1.55,104.145,IG1,40.5,0.000003266,0.000291167,0.001487267,0.005416807,2.804,94.73,IG1,40.5,0.000003266,0.000291167,0.001487267,0.005416807,,,IG1,40.5,0.000003266,0.000291167,0.001487267,0.005416807,,,IG1,40.5,0.000003266,0.000291167,0.001487267,0.005416807
3/6/2018,,,IG1,40.3,0.000003106,0.000282917,0.001457444,0.005336932,1.234,111.181,IG1,40.3,0.000003106,0.000282917,0.001457444,0.005336932,1.569,103.967,IG1,40.3,0.000003106,0.000282917,0.001457444,0.005336932,2.817,94.608,IG1,40.3,0.000003106,0.000282917,0.001457444,0.005336932,,,IG1,40.3,0.000003106,0.000282917,0.001457444,0.005336932,,,IG1,40.3,0.000003106,0.000282917,0.001457444,0.005336932
3/7/2018,,,IG1,40.3,0.000003117,0.000283682,0.001460637,0.005347127,1.229,111.22,IG1,40.3,0.000003117,0.000283682,0.001460637,0.005347127,1.558,104.071,IG1,40.3,0.000003117,0.000283682,0.001460637,0.005347127,2.775,94.997,IG1,40.3,0.000003117,0.000283682,0.001460637,0.005347127,,,IG1,40.3,0.000003117,0.000283682,0.001460637,0.005347127,,,IG1,40.3,0.000003117,0.000283682,0.001460637,0.005347127
3/8/2018,,,IG1,40.2,0.000003007,0.000278196,0.001441515,0.005298949,1.201,111.435,IG1,40.2,0.000003007,0.000278196,0.001441515,0.005298949,1.519,104.434,IG1,40.2,0.000003007,0.000278196,0.001441515,0.005298949,2.743,95.298,IG1,40.2,0.000003007,0.000278196,0.001441515,0.005298949,,,IG1,40.2,0.000003007,0.000278196,0.001441515,0.005298949,,,IG1,40.2,0.000003007,0.000278196,0.001441515,0.005298949
